Kraj,Okres,Obec,test2,poz2,% poz2,test3,poz3,% poz3,test4a,poz4a,% poz4a,test4b,poz4b,% poz4b,test4c,poz4c,% poz4c
Banskobystrický,Poltár,Uhorské,272,3,"1,10%",,,,23,0,"0,00%",16,0,"0,00%",39,0,"0,00%"
Banskobystrický,Poltár,Veľká Ves,252,3,"1,19%",,,,66,0,"0,00%",84,7,"8,33%",150,7,"4,67%"
Banskobystrický,Revúca,Jelšava,1472,16,"1,09%",,,,338,0,"0,00%",71,3,"4,23%",409,3,"0,73%"
Banskobystrický,Revúca,Ratková,187,2,"1,07%",,,,65,1,"1,54%",16,0,"0,00%",81,1,"1,23%"
Banskobystrický,Rimavská Sobota,Bátka,615,8,"1,30%",,,,111,0,"0,00%",89,7,"7,87%",200,7,"3,50%"
Banskobystrický,Rimavská Sobota,Dražice,235,3,"1,28%",,,,71,0,"0,00%",24,0,"0,00%",95,0,"0,00%"
Banskobystrický,Rimavská Sobota,Gortva,293,5,"1,71%",,,,82,3,"3,66%",34,0,"0,00%",116,3,"2,59%"
Banskobystrický,Rimavská Sobota,Lukovištia,318,4,"1,26%",,,,19,0,"0,00%",19,0,"0,00%",38,0,"0,00%"
Banskobystrický,Rimavská Sobota,Orávka,202,3,"1,49%",,,,18,0,"0,00%",20,0,"0,00%",38,0,"0,00%"
Banskobystrický,Rimavská Sobota,Ratkovská Suchá,73,2,"2,74%",,,,9,0,"0,00%",9,0,"0,00%",18,0,"0,00%"
Banskobystrický,Rimavská Sobota,Rimavské Zalužany,178,4,"2,25%",,,,71,0,"0,00%",117,6,"5,13%",188,6,"3,19%"
Banskobystrický,Rimavská Sobota,Tachty,294,5,"1,70%",,,,154,1,"0,65%",41,0,"0,00%",195,1,"0,51%"
Banskobystrický,Rimavská Sobota,Tomášovce,272,6,"2,21%",,,,0,0,"0,00%",7,0,"0,00%",7,0,"0,00%"
Banskobystrický,Rimavská Sobota,Vlkyňa,361,4,"1,11%",,,,49,0,"0,00%",14,0,"0,00%",63,0,"0,00%"
Banskobystrický,Veľký Krtíš,Bátorová,196,2,"1,02%",,,,54,0,"0,00%",48,1,"2,08%",102,1,"0,98%"
Banskobystrický,Veľký Krtíš,Kosihy nad Ipľom,162,5,"3,09%",,,,43,0,"0,00%",47,1,"2,13%",90,1,"1,11%"
Banskobystrický,Veľký Krtíš,Sečianky,193,3,"1,55%",,,,58,0,"0,00%",14,0,"0,00%",72,0,"0,00%"
Banskobystrický,Veľký Krtíš,Veľká Ves nad Ipľom,313,4,"1,28%",,,,102,0,"0,00%",27,1,"3,70%",129,1,"0,78%"
Banskobystrický,Zvolen,Hronská Breznica,153,0,"0,00%",341,6,"1,76%",38,0,"0,00%",58,4,"6,90%",96,4,"4,17%"
Banskobystrický,Žarnovica,Hodruša - Hámre,1454,15,"1,03%",,,,176,2,"1,14%",167,19,"11,38%",343,21,"6,12%"
Banskobystrický,Žarnovica,Hodruša - Hámre (Kopanice),79,2,"2,53%",,,,78,0,"0,00%",29,0,"0,00%",107,0,"0,00%"
Banskobystrický,Žarnovica,Kľak,100,5,"5,00%",,,,29,0,"0,00%",36,1,"2,78%",65,1,"1,54%"
Banskobystrický,Žarnovica,Malá Lehota,586,10,"1,71%",,,,58,0,"0,00%",31,0,"0,00%",89,0,"0,00%"
Banskobystrický,Žarnovica,Veľká Lehota,931,15,"1,61%",,,,148,0,"0,00%",48,1,"2,08%",196,1,"0,51%"
Banskobystrický,Žarnovica,Voznica,505,6,"1,19%",,,,88,7,"7,95%",54,4,"7,41%",142,11,"7,75%"
Banskobystrický,Žiar nad Hronom,Hliník nad Hronom,1491,19,"1,27%",,,,209,1,"0,48%",79,4,"5,06%",288,5,"1,74%"
Banskobystrický,Žiar nad Hronom,Kremnické Bane,184,2,"1,09%",,,,63,0,"0,00%",79,1,"1,27%",142,1,"0,70%"
Banskobystrický,Žiar nad Hronom,Kunešov - testuje v Kremnických Baniach,184,2,"1,09%",,,,0,0,"0,00%",0,0,"0,00%",0,0,"0,00%"
Banskobystrický,Žiar nad Hronom,Sklené Teplice,434,7,"1,61%",,,,72,0,"0,00%",12,1,"8,33%",84,1,"1,19%"
Bratislavský,Malacky,Plavecký Mikuláš,595,6,"1,01%",,,,106,0,"0,00%",98,6,"6,12%",204,6,"2,94%"
Bratislavský,Pezinok,Vinosady,1 122,16,"1,43%",,,,192,0,"0,00%",243,23,"9,47%",435,23,"5,29%"
Bratislavský,Senec,Hrubý Šúr,764,16,"2,09%",,,,196,1,"0,51%",272,18,"6,62%",468,19,"4,06%"
Bratislavský,Senec,Reca,1 243,15,"1,21%",,,,163,0,"0,00%",175,9,"5,14%",338,9,"2,66%"
,,,,,,1,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Košický,Gelnica,Kluknava,1057,11,"1,04%",1072,12,"1,12%",267,1,"0,37%",113,11,"9,73%",380,12,"3,16%"
Košický,Gelnica,Závadka,442,13,"2,94%",370,5,"1,35%",136,5,"3,68%",31,0,"0,00%",167,5,"2,99%"
Košický,Košice - okolie,Beniakovce,606,7,"1,16%",,,,99,1,"1,01%",98,4,"4,08%",197,5,"2,54%"
Košický,Košice - okolie,Blažice,450,5,"1,11%",,,,52,0,"0,00%",23,0,"0,00%",75,0,"0,00%"
Košický,Košice - okolie,Buzica,707,10,"1,41%",,,,153,0,"0,00%",60,7,"11,67%",213,7,"3,29%"
Košický,Košice - okolie,Čakanovce,469,11,"2,35%",,,,46,1,"2,17%",29,1,"3,45%",75,2,"2,67%"
Košický,Košice - okolie,Čaňa,3 107,35,"1,13%",,,,418,0,"0,00%",180,3,"1,67%",598,3,"0,50%"
Košický,Košice - okolie,Čečejovce,1 721,22,"1,28%",,,,235,1,"0,43%",104,4,"3,85%",339,5,"1,47%"
Košický,Košice - okolie,Gyňov,768,10,"1,30%",,,,98,2,"2,04%",48,0,"0,00%",146,2,"1,37%"
Košický,Košice - okolie,Hačava,397,4,"1,01%",,,,17,0,"0,00%",15,0,"0,00%",32,0,"0,00%"
Košický,Košice - okolie,Háj,173,2,"1,16%",,,,81,0,"0,00%",40,3,"7,50%",121,3,"2,48%"
Košický,Košice - okolie,Herľany,171,4,"2,34%",,,,58,0,"0,00%",36,7,"19,44%",94,7,"7,45%"
Košický,Košice - okolie,Chorváty,141,3,"2,13%",,,,24,0,"0,00%",33,1,"3,03%",57,1,"1,75%"
Košický,Košice - okolie,Kalša,522,7,"1,34%",,,,140,0,"0,00%",11,0,"0,00%",151,0,"0,00%"
Košický,Košice - okolie,Kráľovce,639,8,"1,25%",,,,94,2,"2,13%",73,8,"10,96%",167,10,"5,99%"
Košický,Košice - okolie,Mokrance,820,14,"1,71%",,,,228,1,"0,44%",91,4,"4,40%",319,5,"1,57%"
Košický,Košice - okolie,Nižný Čaj,380,5,"1,32%",,,,32,0,"0,00%",37,1,"2,70%",69,1,"1,45%"
Košický,Košice - okolie,Olšovany,486,5,"1,03%",,,,60,0,"0,00%",48,3,"6,25%",108,3,"2,78%"
Košický,Košice - okolie,Peder,248,3,"1,21%",,,,43,0,"0,00%",9,0,"0,00%",52,0,"0,00%"
Košický,Košice - okolie,Ploské,841,15,"1,78%",,,,52,0,"0,00%",66,1,"1,52%",118,1,"0,85%"
Košický,Košice - okolie,Rankovce,657,10,"1,52%",,,,65,0,"0,00%",7,2,"28,57%",72,2,"2,78%"
Košický,Košice - okolie,Skároš,857,9,"1,05%",,,,141,0,"0,00%",27,0,"0,00%",168,0,"0,00%"
Košický,Košice - okolie,Štós,480,11,"2,29%",,,,105,0,"0,00%",44,0,"0,00%",149,0,"0,00%"
Košický,Košice - okolie,Valaliky,2 787,32,"1,15%",,,,458,2,"0,44%",228,5,"2,19%",686,7,"1,02%"
Košický,Košice - okolie,Vyšná Hutka,262,6,"2,29%",,,,73,0,"0,00%",59,4,"6,78%",132,4,"3,03%"
Košický,Košice - okolie,Ždaňa,803,13,"1,62%",,,,188,0,"0,00%",46,1,"2,17%",234,1,"0,43%"
Košický,Michalovce,Markovce,544,48,"8,82%",,,,211,4,"1,90%",26,2,"7,69%",237,6,"2,53%"
Košický,Michalovce,Ptrukša,303,4,"1,32%",,,,117,0,"0,00%",115,5,"4,35%",232,5,"2,16%"
Košický,Michalovce,Vrbnica,508,16,"3,15%",,,,50,2,"4,00%",60,8,"13,33%",110,10,"9,09%"
Košický,Rožňava,Nižná Slaná,807,12,"1,49%",,,,99,0,"0,00%",22,2,"9,09%",121,2,"1,65%"
Košický,Rožňava,Pača,422,5,"1,18%",,,,77,0,"0,00%",30,5,"16,67%",107,5,"4,67%"
Košický,Rožňava,Roštár,301,4,"1,33%",,,,44,0,"0,00%",18,3,"16,67%",62,3,"4,84%"
Košický,Rožňava,Slavoška,65,2,"3,08%",,,,14,0,"0,00%",11,0,"0,00%",25,0,"0,00%"
Košický,Rožňava,Vlachovo,497,7,"1,41%",,,,99,0,"0,00%",58,4,"6,90%",157,4,"2,55%"
Košický,Sobrance,Hlivištia,393,13,"3,31%",399,10,"2,51%",83,1,"1,20%",52,2,"3,85%",135,3,"2,22%"
Košický,Spišská Nová Ves,Betlanovce,500,6,"1,20%",448,9,"2,01%",105,6,"5,71%",48,2,"4,17%",153,8,"5,23%"
Košický,Spišská Nová Ves,Hrabušice,1548,48,"3,10%",1474,26,"1,76%",278,4,"1,44%",43,0,"0,00%",321,4,"1,25%"
Košický,Spišská Nová Ves,Iliašovce,741,10,"1,35%",631,7,"1,11%",215,3,"1,40%",49,2,"4,08%",264,5,"1,89%"
Košický,Spišská Nová Ves,Letanovce,1178,49,"4,16%",1356,15,"1,11%",816,4,"0,49%",43,2,"4,65%",859,6,"0,70%"
Košický,Spišská Nová Ves,Spišské Tomášovce,1260,25,"1,98%",1212,14,"1,16%",273,2,"0,73%",75,1,"1,33%",348,3,"0,86%"
Košický,Spišská Nová Ves,Spišské Vlachy,1549,18,"1,16%",1821,21,"1,15%",602,11,"1,83%",118,5,"4,24%",720,16,"2,22%"
Košický,Spišská Nová Ves,Vítkovce,386,13,"3,37%",316,14,"4,43%",93,2,"2,15%",25,1,"4,00%",118,3,"2,54%"
Košický,Trebišov,Bačka,460,6,"1,30%",,,,205,6,"2,93%",74,3,"4,05%",279,9,"3,23%"
Košický,Trebišov,Brehov,398,4,"1,01%",,,,44,0,"0,00%",7,0,"0,00%",51,0,"0,00%"
Košický,Trebišov,Dargov,416,6,"1,44%",,,,79,0,"0,00%",35,0,"0,00%",114,0,"0,00%"
Košický,Trebišov,Dobrá,397,5,"1,26%",,,,65,3,"4,62%",48,0,"0,00%",113,3,"2,65%"
Košický,Trebišov,Hraň,723,8,"1,11%",,,,101,0,"0,00%",19,0,"0,00%",120,0,"0,00%"
Košický,Trebišov,Hrčeľ,521,11,"2,11%",,,,215,0,"0,00%",39,0,"0,00%",254,0,"0,00%"
Košický,Trebišov,Hriadky,177,2,"1,13%",,,,39,0,"0,00%",15,0,"0,00%",54,0,"0,00%"
Košický,Trebišov,Klin nad Bodrogom,315,4,"1,27%",,,,45,0,"0,00%",25,0,"0,00%",70,0,"0,00%"
Košický,Trebišov,Lastovce,654,7,"1,07%",,,,186,0,"0,00%",23,0,"0,00%",209,0,"0,00%"
Košický,Trebišov,Malá Tŕňa,176,2,"1,14%",,,,52,0,"0,00%",10,0,"0,00%",62,0,"0,00%"
,,,,,,2,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Košický,Trebišov,Parchovany,1 096,11,"1,00%",,,,231,0,"0,00%",70,1,"1,43%",301,1,"0,33%"
Košický,Trebišov,Sečovce,3 486,23,"0,66%",,,,259,1,"0,39%",80,2,"2,50%",339,3,"0,88%"
Košický,Trebišov,Slivník,497,11,"2,21%",,,,101,0,"0,00%",14,0,"0,00%",115,0,"0,00%"
Košický,Trebišov,Veľká Tŕňa,391,4,"1,02%",,,,71,0,"0,00%",9,0,"0,00%",80,0,"0,00%"
Košický,Trebišov,Zemplínska Teplica,970,38,"3,92%",,,,185,5,"2,70%",17,0,"0,00%",202,5,"2,48%"
Nitriansky,Nitra,Alekšince,1 014,24,"2,37%",,,,209,2,"0,96%",49,2,"4,08%",258,4,"1,55%"
Nitriansky,Nitra,Čab,711,11,"1,55%",,,,101,3,"2,97%",58,3,"5,17%",159,6,"3,77%"
Nitriansky,Nitra,Čifáre,395,5,"1,27%",,,,78,2,"2,56%",103,7,"6,80%",181,9,"4,97%"
Nitriansky,Nitra,Dolné Lefantovce,1 727,21,"1,22%",,,,81,0,"0,00%",66,2,"3,03%",147,2,"1,36%"
Nitriansky,Nitra,Horné Lefantovce,545,13,"2,39%",,,,108,2,"1,85%",9,0,"0,00%",117,2,"1,71%"
Nitriansky,Nitra,Hruboňovo,492,11,"2,24%",,,,62,0,"0,00%",15,0,"0,00%",77,0,"0,00%"
Nitriansky,Nitra,Ivanka pri Nitre,1 946,20,"1,03%",,,,329,3,"0,91%",321,13,"4,05%",650,16,"2,46%"
Nitriansky,Nitra,Jarok,1 745,18,"1,03%",,,,285,4,"1,40%",113,5,"4,42%",398,9,"2,26%"
Nitriansky,Nitra,Jelenec,1 603,18,"1,12%",,,,330,2,"0,61%",120,9,"7,50%",450,11,"2,44%"
Nitriansky,Nitra,Kapince,341,4,"1,17%",,,,22,0,"0,00%",15,0,"0,00%",37,0,"0,00%"
Nitriansky,Nitra,Malé Zálužie,182,4,"2,20%",,,,55,0,"0,00%",20,0,"0,00%",75,0,"0,00%"
Nitriansky,Nitra,Tajná,360,7,"1,94%",,,,36,1,"2,78%",51,6,"11,76%",87,7,"8,05%"
Nitriansky,Nitra,Veľké Zálužie,2118,25,"1,18%",,,,494,3,"0,61%",126,2,"1,59%",620,5,"0,81%"
Nitriansky,Nitra,Zbehy,1650,19,"1,15%",,,,206,6,"2,91%",144,6,"4,17%",350,12,"3,43%"
Nitriansky,Nitra,Žirany,926,23,"2,48%",,,,255,3,"1,18%",72,5,"6,94%",327,8,"2,45%"
Nitriansky,Nové Zámky,Malá n/Hronom,471,9,"1,91%",,,,78,1,"1,28%",104,4,"3,85%",182,5,"2,75%"
Nitriansky,Nové Zámky,Mojzesovo,913,14,"1,53%",,,,187,0,"0,00%",72,4,"5,56%",259,4,"1,54%"
Nitriansky,Nové Zámky,Podhájska,727,15,"2,06%",,,,140,1,"0,71%",85,6,"7,06%",225,7,"3,11%"
Nitriansky,Nové Zámky,Šurany,6186,70,"1,13%",,,,633,11,"1,74%",392,37,"9,44%",1025,48,"4,68%"
Nitriansky,Šaľa,Dlhá,646,9,"1,39%",,,,263,0,"0,00%",171,15,"8,77%",434,15,"3,46%"
Nitriansky,Šaľa,Močenok,2045,25,"1,22%",,,,473,3,"0,63%",98,3,"3,06%",571,6,"1,05%"
Nitriansky,Šaľa,Selice,1431,21,"1,47%",,,,198,0,"0,00%",34,5,"14,71%",232,5,"2,16%"
Nitriansky,Topoľčany,Hajná Nová Ves,452,7,"1,55%",400,4,"1,00%",40,0,"0,00%",3,0,"0,00%",43,0,"0,00%"
Nitriansky,Topoľčany,Hrušovany,764,11,"1,44%",1 368,18,"1,32%",50,0,"0,00%",45,1,"2,22%",95,1,"1,05%"
Nitriansky,Topoľčany,Chrabrany,682,10,"1,47%",673,8,"1,19%",56,0,"0,00%",34,1,"2,94%",90,1,"1,11%"
Nitriansky,Topoľčany,Krtovce,329,8,"2,43%",305,6,"1,97%",23,0,"0,00%",14,0,"0,00%",37,0,"0,00%"
Nitriansky,Topoľčany,Malé Ripňany,690,5,"0,72%",1 037,11,"1,06%",47,2,"4,26%",70,5,"7,14%",117,7,"5,98%"
Nitriansky,Topoľčany,Nemčice,663,15,"2,26%",710,8,"1,13%",139,1,"0,72%",85,6,"7,06%",224,7,"3,13%"
Nitriansky,Topoľčany,Oponice,495,6,"1,21%",933,10,"1,07%",44,0,"0,00%",26,2,"7,69%",70,2,"2,86%"
Nitriansky,Topoľčany,Rajčany,472,3,"0,64%",454,7,"1,54%",80,1,"1,25%",63,7,"11,11%",143,8,"5,59%"
Nitriansky,Topoľčany,Tvrdomestice,242,10,"4,13%",260,3,"1,15%",47,0,"0,00%",23,3,"13,04%",70,3,"4,29%"
Nitriansky,Topoľčany,Veľké Dvorany,608,17,"2,80%",583,7,"1,20%",80,5,"6,25%",38,2,"5,26%",118,7,"5,93%"
Nitriansky,Zlaté Moravce,Hostie,794,11,"1,39%",,,,160,2,"1,25%",26,1,"3,85%",186,3,"1,61%"
Nitriansky,Zlaté Moravce,Jedľové Kostoľany,694,11,"1,59%",,,,90,0,"0,00%",19,0,"0,00%",109,0,"0,00%"
Nitriansky,Zlaté Moravce,Lovce,498,6,"1,20%",,,,61,0,"0,00%",10,0,"0,00%",71,0,"0,00%"
Nitriansky,Zlaté Moravce,Mankovce,425,5,"1,18%",,,,29,0,"0,00%",19,0,"0,00%",48,0,"0,00%"
Nitriansky,Zlaté Moravce,Nevidzany,510,7,"1,37%",,,,120,0,"0,00%",11,0,"0,00%",131,0,"0,00%"
Nitriansky,Zlaté Moravce,Tekovské Nemce,636,9,"1,42%",,,,101,0,"0,00%",50,5,"10,00%",151,5,"3,31%"
Nitriansky,Zlaté Moravce,Tesárske Mlyňany,957,11,"1,15%",,,,162,0,"0,00%",123,6,"4,88%",285,6,"2,11%"
Nitriansky,Zlaté Moravce,Veľké Vozokany,418,5,"1,20%",,,,52,0,"0,00%",21,0,"0,00%",73,0,"0,00%"
Nitriansky,Komárno,"Bodza, Holiare, Lipové",861,14,"1,63%",,,,127,0,"0,00%",38,0,"0,00%",165,0,"0,00%"
Nitriansky,Komárno,Martovce,568,6,"1,06%",,,,232,3,"1,29%",52,4,"7,69%",284,7,"2,46%"
Nitriansky,Komárno,Moča,688,7,"1,02%",,,,239,1,"0,42%",61,1,"1,64%",300,2,"0,67%"
Nitriansky,Komárno,Radvaň nad Dunajom,697,7,"1,00%",,,,220,0,"0,00%",60,2,"3,33%",280,2,"0,71%"
Nitriansky,Komárno,"Sokolce, Brestovec",1358,31,"2,28%",,,,188,4,"2,13%",37,1,"2,70%",225,5,"2,22%"
Nitriansky,Komárno,Vrbová nad Váhom,730,13,"1,78%",,,,93,1,"1,08%",43,1,"2,33%",136,2,"1,47%"
Nitriansky,Levice,Hontianské Trsťany,197,5,"2,54%",,,,81,2,"2,47%",28,0,"0,00%",109,2,"1,83%"
,,,,,,3,,,,,,,,,,,
Kraj,Okres,Obec,2 etapa 30.10.-1.11.,,,3 etapa 7.-8.11.,,,4 etapa 21.-22.11. rezidentní,,,4 etapa 21.-22.11. nerezident,,,4 etapa 21.-22.11. spolu,,
,,,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz,test,poz,% poz
Nitriansky,Levice,"Horné Semerovce, Slatina",522,10,"1,92%",,,,60,0,"0,00%",43,3,"6,98%",103,3,"2,91%"
Nitriansky,Levice,Kozárovce,1178,12,"1,02%",,,,115,3,"2,61%",101,1,"0,99%",216,4,"1,85%"
Nitriansky,Levice,Plavé Vozokany,434,5,"1,15%",,,,89,0,"0,00%",24,0,"0,00%",113,0,"0,00%"
Nitriansky,Levice,Tupá,455,11,"2,42%",,,,40,0,"0,00%",86,4,"4,65%",126,4,"3,17%"
Prešovský,Bardejov,Abrahámovce,323,7,"2,17%",278,3,"1,08%",50,0,"0,00%",11,0,"0,00%",61,0,"0,00%"
Prešovský,Bardejov,Andrejová,344,7,"2,03%",247,3,"1,21%",43,0,"0,00%",20,0,"0,00%",63,0,"0,00%"
Prešovský,Bardejov,Gaboltov,204,1,"0,49%",205,3,"1,46%",113,0,"0,00%",13,0,"0,00%",126,0,"0,00%"
Prešovský,Bardejov,Hertník,664,8,"1,20%",652,11,"1,69%",228,6,"2,63%",61,0,"0,00%",289,6,"2,08%"
Prešovský,Bardejov,Hrabovec,331,12,"3,63%",306,6,"1,96%",89,1,"1,12%",23,1,"4,35%",112,2,"1,79%"
Prešovský,Bardejov,Hrabské,249,10,"4,02%",306,10,"3,27%",112,0,"0,00%",10,0,"0,00%",122,0,"0,00%"
Prešovský,Bardejov,Janovce,222,8,"3,60%",289,5,"1,73%",77,5,"6,49%",11,0,"0,00%",88,5,"5,68%"
Prešovský,Bardejov,Koprivnica,452,7,"1,55%",433,5,"1,15%",148,0,"0,00%",53,2,"3,77%",201,2,"1,00%"
Prešovský,Bardejov,Kurima,634,15,"2,37%",646,7,"1,08%",169,1,"0,59%",25,0,"0,00%",194,1,"0,52%"
Prešovský,Bardejov,Lenartov,706,19,"2,69%",679,7,"1,03%",137,2,"1,46%",15,0,"0,00%",152,2,"1,32%"
Prešovský,Bardejov,Lipová,103,0,"0,00%",81,2,"2,47%",17,0,"0,00%",2,0,"0,00%",19,0,"0,00%"
Prešovský,Bardejov,Livov,73,1,"1,37%",73,1,"1,37%",21,0,"0,00%",9,0,"0,00%",30,0,"0,00%"
Prešovský,Bardejov,Lopúchov,185,2,"1,08%",212,3,"1,42%",29,0,"0,00%",17,2,"11,76%",46,2,"4,35%"
Prešovský,Bardejov,Malcov,753,46,"6,11%",821,26,"3,17%",273,3,"1,10%",43,0,"0,00%",316,3,"0,95%"
Prešovský,Bardejov,Ortuťová,110,6,"5,45%",111,5,"4,50%",38,0,"0,00%",10,0,"0,00%",48,0,"0,00%"
Prešovský,Bardejov,Petrová,575,8,"1,39%",575,8,"1,39%",131,1,"0,76%",39,0,"0,00%",170,1,"0,59%"
Prešovský,Bardejov,Rokytov,713,21,"2,95%",267,11,"4,12%",90,2,"2,22%",78,9,"11,54%",168,11,"6,55%"
Prešovský,Bardejov,Smilno,470,18,"3,83%",443,9,"2,03%",145,1,"0,69%",27,1,"3,70%",172,2,"1,16%"
Prešovský,Bardejov,Šarišské Čierne,140,3,"2,14%",148,2,"1,35%",30,0,"0,00%",7,1,"14,29%",37,1,"2,70%"
Prešovský,Bardejov,Tarnov,419,10,"2,39%",343,5,"1,46%",93,0,"0,00%",58,8,"13,79%",151,8,"5,30%"
Prešovský,Bardejov,Vyšná Voľa,182,5,"2,75%",211,3,"1,42%",119,2,"1,68%",16,0,"0,00%",135,2,"1,48%"
Prešovský,Bardejov,Vyšný Kručov,129,0,"0,00%",155,2,"1,29%",16,0,"0,00%",6,0,"0,00%",22,0,"0,00%"
Prešovský,Bardejov,Zborov,1496,32,"2,14%",1646,32,"1,94%",547,2,"0,37%",114,3,"2,63%",661,5,"0,76%"
Prešovský,Bardejov,Zlaté,449,13,"2,90%",529,6,"1,13%",168,1,"0,60%",29,0,"0,00%",197,1,"0,51%"
Prešovský,Humenné,Baškovce,503,19,"3,78%",436,6,"1,38%",82,0,"0,00%",16,0,"0,00%",98,0,"0,00%"
Prešovský,Humenné,Hankovce,423,13,"3,07%",383,4,"1,04%",96,2,"2,08%",14,0,"0,00%",110,2,"1,82%"
Prešovský,Humenné,Jasenov,1 009,20,"1,98%",1 032,12,"1,16%",165,0,"0,00%",77,1,"1,30%",242,1,"0,41%"
Prešovský,Humenné,Košarovce,620,12,"1,94%",627,7,"1,12%",149,1,"0,67%",26,0,"0,00%",175,1,"0,57%"
Prešovský,Humenné,Ľubiša,761,19,"2,50%",714,11,"1,54%",211,0,"0,00%",28,0,"0,00%",239,0,"0,00%"
Prešovský,Humenné,Lukačovce,493,15,"3,04%",475,5,"1,05%",123,0,"0,00%",6,1,"16,67%",129,1,"0,78%"
Prešovský,Humenné,Myslina,424,16,"3,77%",369,4,"1,08%",114,1,"0,88%",29,7,"24,14%",143,8,"5,59%"
Prešovský,Humenné,Nižné Ladičkovce,375,8,"2,13%",346,5,"1,45%",79,0,"0,00%",8,0,"0,00%",87,0,"0,00%"
Prešovský,Humenné,Ohradzany,398,8,"2,01%",400,8,"2,00%",102,7,"6,86%",15,1,"6,67%",117,8,"6,84%"
Prešovský,Humenné,Ptičie,502,10,"1,99%",357,4,"1,12%",45,0,"0,00%",10,0,"0,00%",55,0,"0,00%"
Prešovský,Humenné,Zbudské Dlhé,560,5,"0,89%",484,9,"1,86%",49,2,"4,08%",10,0,"0,00%",59,2,"3,39%"
Prešovský,Kežmarok,Jezersko,186,7,"3,76%",150,2,"1,33%",21,2,"9,52%",16,0,"0,00%",37,2,"5,41%"
Prešovský,Kežmarok,Jurské,900,12,"1,33%",808,11,"1,36%",233,2,"0,86%",18,0,"0,00%",251,2,"0,80%"
Prešovský,Kežmarok,Krížová Ves,1467,39,"2,66%",1304,15,"1,15%",308,1,"0,32%",69,5,"7,25%",377,6,"1,59%"
Prešovský,Kežmarok,Lendak,3095,89,"2,88%",2994,48,"1,60%",1678,48,"2,86%",52,1,"1,92%",1730,49,"2,83%"
Prešovský,Kežmarok,Malá Franková,333,10,"3,00%",116,2,"1,72%",27,0,"0,00%",18,1,"5,56%",45,1,"2,22%"
